name,i4,i3,i2,i1,b4,b3,b2,b1,s4,s3,s2,s1,g4,g3,g2,g1,p4,p3,p2,p1,d4,d3,d2,d1,m,gm,c,total
Br,0.042,0.55,1.4,1.6,2.8,4,5.4,5.4,9.7,9.5,9.1,6.0,12,7.3,5.1,2.6,6.5,3.1,1.8,0.74,2.3,0.88,0.44,0.14,0.81,0.027,0.013,0.758,99.242
eune,0.03,0.5,1.4,1.6,2.9,4.2,5.6,5.7,9.9,9.8,9.5,6.2,11,7.3,5,2.4,6.1,2.8,1.6,0.67,2,0.75,0.37,0.12,0.62,0.047,0.023,1.87,98.13
euw,0.025,0.43,1.2,1.4,2.6,3.7,5,5.1,9.6,9.4,9.3,6.1,12,7.6,5.2,2.5,6.9,3.1,1.8,0.74,2.5,0.91,0.45,0.14,0.91,0.042,0.016,1.337,98.663
jp,0.022,0.44,1.2,1.4,2.8,3.8,5.1,5.1,9.6,9.1,8.8,5.7,11,7.6,5.2,2.4,7.1,3.2,1.9,0.73,3.1,1,0.5,0.15,1.2,0.096,0.048,1.714,98.286
kr,0.02, 0.40 ,1.1,1.2,2.4,3.4,4.4,4.3,9,9,8.7,5.7,13,8.2,5.5,2.5,8.4,3.5,1.9,0.69,3.2,0.97,0.43,0.13,1.1,0.034,0.017,0.809,99.191
LAN,0.028,0.52,1.4,1.7,3,4,5.6,5.6,9.9,9.6,9.4,6.1,12,7.3,5,2.4,6.1,2.7,1.7,0.71,2,0.75,0.37,0.12,0.64,0.034,0.017,1.311,98.689
LAS,0.022,0.5,1.4,1.6,3,3.9,5.4,5.5,9.7,9.5,9.3,6.1,12,7.4,5,2.6,6.2,2.9,1.7,0.73,2.2,0.82,0.4,0.14,0.71,0.031,0.015,1.232,98.768
NA,0.024,0.4,1.1,1.3,2.5,3.5,4.8,4.8,9.3,9.2,9.1,6,12,7.8,5.4,2.6,7.2,3.3,1.9,0.78,2.8,1,0.5,0.15,1.1,0.056,0.028,1.362,98.638
OCE,0.022,0.47,1.4,1.6,3.1,4.2,5.6,5.5,9.4,9.1,8.8,5.7,11,7.4,5,2.3,6.7,3.2,1.8,0.73,2.7,0.96,0.49,0.15,0.92,0.13,0.065,1.563,98.437
PH,0.018,0.48,1.5,1.6,2.9,3.9,5.1,5.1,9.3,9.2,9,5.9,11,7.4,5.1,2.4,7,3.2,2,0.74,2.9,1,0.53,0.18,1,0.063,0.031,1.458,98.542
RU,0.021,0.6,1.5,1.8,3.4,4.5,6,6.1,10,9.9,9.9,6.4,11,7.2,4.6,2.3,5.5,2.4,1.4,0.56,1.6,0.59,0.29,0.1,0.45,0.06,0.03,1.799,98.201
SG,0.02,0.61,1.5,1.6,3,3.8,4.9,4.8,9.1,8.7,8.7,5.6,12,7.6,5.2,2.4,7.6,3.4,1.9,0.79,3,1,0.46,0.16,0.89,0.11,0.057,1.103,98.897
TH,0.029,0.52,1.3,1.5,2.9,3.6,4.8,4.5,9.2,8.9,8.9,5.7,12,7.9,5.4,2.5,7.9,3.4,1.8,0.68,2.9,0.93,0.35,0.15,0.77,0.091,0.045,1.335,98.665
TR,0.031,0.6,1.5,1.6,2.9,4,5.3,5.4,9.5,9.3,9.1,6.1,11,7.4,5.3,2.7,6.6,3.2,1.9,0.78,2.3,0.86,0.41,0.14,0.67,0.038,0.19,1.181,98.819
TW,0.037,0.54,1.4,1.5,2.8,3.7,4.9,4.9,9.3,8.9,8.4,5.2,12,7.4,4.9,2.2,8.1,3.4,1.9,0.71,3.4,1,0.47,0.15,1.2,0.043,0.021,1.529,98.471
VN,0.022,0.31,0.83,0.92,1.8,2.7,3.7,3.7,8.6,8.3,8.1,5.1,13,8.8,5.9,2.6,10,4.2,2.2,0.78,3.8,1.1,0.49,0.15,1.1,0.083,0.041,1.674,98.326
